num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123736288702,0,10/12/2019,Bel24,5e17abb0d57900002200151f,0,True,
2,982 123736288702,0,11/12/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
3,982 123736288702,58.31,11/26/2019,Bel_34,5e17abb0d57900002200151f,58.31,True,
4,982 123736288702,0,12/15/2019,Bel24,5e17abb0d57900002200151f,-58.31,True,
5,982 123736288702,0,12/17/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
6,982 123736288702,0,12/18/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
7,982 123736288702,0,12/19/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
8,982 123736288702,0,12/20/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
9,982 123736288702,0,12/20/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
10,982 123736288702,0,12/21/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
11,982 123736288702,0,12/22/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
12,982 123736288702,0,12/22/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
13,982 123736288702,0,12/22/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
14,982 123736288702,52.27,12/23/2019,Bel24,5e17abb0d57900002200151f,52.27,True,
15,982 123736288702,52,12/24/2019,Bel24,5e17abb0d57900002200151f,-0.2700000000000031,True,
16,982 123736288702,0,12/24/2019,Bel24,5e17abb0d57900002200151f,-52.0,True,
17,982 123736288702,0,12/24/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
18,982 123736288702,0,12/24/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
19,982 123736288702,0,12/25/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
20,982 123736288702,0,12/25/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
21,982 123736288702,0,12/26/2019,Bel24,5e17abb0d57900002200151f,0.0,True,
22,982 123736288702,54.33,12/27/2019,Bel24,5e17abb0d57900002200151f,54.33,True,
23,982 123736288702,0,12/27/2019,Bel24,5e17abb0d57900002200151f,-54.33,True,
24,982 123736288702,55.6,12/28/2019,Bel24,5e17abb0d57900002200151f,55.6,True,
25,982 123736288702,120.6,12/29/2019,Bel24,5e17abb0d57900002200151f,65.0,True,
26,982 123736288702,54.59,12/31/2019,Bel24,5e17abb0d57900002200151f,-66.00999999999999,True,
27,982 123736288702,404.9,03/12/2020,Kraatz,5e17abb0d57900002200151f,350.30999999999995,False,
28,982 123736288702,233.19,03/12/2020,Kraatz,5e17abb0d57900002200151f,-171.70999999999998,False,
29,982 123736288702,228,06/12/2020,Kraatz,5e17abb0d57900002200151f,-5.189999999999998,True,
