num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123766108928,641.67,01/02/2023,07.Bel,63f336a71743003b6e081b6a,0,True,
2,982 123766108928,615.15,01/02/2023,07.Bel,63f336a71743003b6e081b6a,-26.519999999999982,True,
3,982 123766108928,530.95,01/30/2023,07.Bel,63f336a71743003b6e081b6a,-84.19999999999993,False,
4,982 123766108928,612.22,01/31/2023,07.Bel,63f336a71743003b6e081b6a,81.26999999999998,False,
5,982 123766108928,611.39,02/02/2023,07.Bel,63f336a71743003b6e081b6a,-0.8300000000000409,True,
6,982 123766108928,624.5,03/02/2023,07.Bel,63f336a71743003b6e081b6a,13.110000000000014,True,
7,982 123766108928,633,03/02/2023,07.Bel,63f336a71743003b6e081b6a,8.5,True,
