num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123766109220,73.75,01/11/2021,15.Bel,6163df4a3e48000098007d82,0,True,
2,982 123766109220,104.12,05/12/2021,15.Bel,6163df4a3e48000098007d82,30.370000000000005,True,
3,982 123766109220,344.76,06/11/2021,15.Bel,6163df4a3e48000098007d82,240.64,False,
4,982 123766109220,319.84,06/11/2021,15.Bel,6163df4a3e48000098007d82,-24.920000000000016,True,
5,982 123766109220,321.07,06/11/2021,15.Bel,6163df4a3e48000098007d82,1.2300000000000182,True,
6,982 123766109220,307.09,10/21/2021,15.Bel,6163df4a3e48000098007d82,-13.980000000000018,True,
7,982 123766109220,103.06,10/21/2021,15.Bel,6163df4a3e48000098007d82,-204.02999999999997,False,
8,982 123766109220,0,10/22/2021,15.Bel,6163df4a3e48000098007d82,-103.06,True,
9,982 123766109220,58.71,10/24/2021,15.Bel,6163df4a3e48000098007d82,58.71,True,
10,982 123766109220,65.96,10/25/2021,15.Bel,6163df4a3e48000098007d82,7.249999999999993,True,
11,982 123766109220,57.51,10/27/2021,15.Bel,6163df4a3e48000098007d82,-8.449999999999996,True,
12,982 123766109220,57.4,10/27/2021,15.Bel,6163df4a3e48000098007d82,-0.10999999999999943,True,
13,982 123766109220,57.79,10/27/2021,15.Bel,6163df4a3e48000098007d82,0.39000000000000057,True,
14,982 123766109220,239.02,10/28/2021,15.Bel,6163df4a3e48000098007d82,181.23000000000002,False,
15,982 123766109220,284.05,12/10/2021,15.Bel,6163df4a3e48000098007d82,45.03,True,
16,982 123766109220,64.63,12/20/2021,15.Bel,6163df4a3e48000098007d82,-219.42000000000002,False,
17,982 123766109220,191.52,12/21/2021,15.Bel,6163df4a3e48000098007d82,126.89000000000001,True,
18,982 123766109220,113.38,12/22/2021,15.Bel,6163df4a3e48000098007d82,-78.14000000000001,True,
19,982 123766109220,139.56,12/23/2021,15.Bel,6163df4a3e48000098007d82,26.180000000000007,True,
20,982 123766109220,116.08,12/24/2021,15.Bel,6163df4a3e48000098007d82,-23.480000000000004,True,
21,982 123766109220,186.43,12/25/2021,15.Bel,6163df4a3e48000098007d82,70.35000000000001,True,
22,982 123766109220,280.81,12/25/2021,15.Bel,6163df4a3e48000098007d82,94.38,True,
23,982 123766109220,208.99,12/25/2021,15.Bel,6163df4a3e48000098007d82,-71.82,True,
24,982 123766109220,209.06,12/25/2021,15.Bel,6163df4a3e48000098007d82,0.06999999999999318,True,
25,982 123766109220,199.46,12/25/2021,15.Bel,6163df4a3e48000098007d82,-9.599999999999994,True,
26,982 123766109220,208.86,12/25/2021,15.Bel,6163df4a3e48000098007d82,9.400000000000006,True,
27,982 123766109220,123.39,01/01/2022,15.Bel,6163df4a3e48000098007d82,-85.47000000000001,True,
28,982 123766109220,167.55,01/01/2022,15.Bel,6163df4a3e48000098007d82,44.16000000000001,True,
29,982 123766109220,179.59,01/01/2022,15.Bel,6163df4a3e48000098007d82,12.039999999999992,True,
30,982 123766109220,244.98,01/01/2022,15.Bel,6163df4a3e48000098007d82,65.38999999999999,True,
31,982 123766109220,228.68,02/01/2022,15.Bel,6163df4a3e48000098007d82,-16.299999999999983,True,
32,982 123766109220,238,02/01/2022,15.Bel,6163df4a3e48000098007d82,9.319999999999993,True,
33,982 123766109220,279.43,05/08/2022,DM15Final,6163df4a3e48000098007d82,41.43000000000001,True,
34,982 123766109220,265.4,07/08/2022,DM15Final,6163df4a3e48000098007d82,-14.03000000000003,True,
35,982 123766109220,171.21,08/26/2022,DM15Final,6163df4a3e48000098007d82,-94.18999999999997,True,
36,982 123766109220,200.86,09/21/2022,DM15Final,6163df4a3e48000098007d82,29.650000000000006,True,
37,982 123766109220,167.58,09/22/2022,DM15Final,6163df4a3e48000098007d82,-33.28,True,
38,982 123766109220,128.96,09/26/2022,DM15Final,6163df4a3e48000098007d82,-38.620000000000005,True,
39,982 123766109220,306.67,10/17/2022,DM15Final,6163df4a3e48000098007d82,177.71,False,
40,982 123766109220,137.3,11/17/2022,DM15Final,6163df4a3e48000098007d82,-169.37,False,
41,982 123766109220,181.07,12/16/2022,DM15Final,6163df4a3e48000098007d82,43.76999999999998,True,
42,982 123766109220,325.08,12/20/2022,DM15Final,6163df4a3e48000098007d82,144.01,False,
43,982 123766109220,279.76,12/22/2022,DM13BelKraatz,6163df4a3e48000098007d82,-45.31999999999999,True,
44,982 123766109220,324.04,12/25/2022,DM15Final,6163df4a3e48000098007d82,44.28000000000003,True,
45,982 123766109220,551.2,01/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,227.16000000000003,False,
46,982 123766109220,1230.5,01/13/2023,DM13BelKraatz,6163df4a3e48000098007d82,679.3,False,
47,982 123766109220,270.28,01/13/2023,DM13BelKraatz,6163df4a3e48000098007d82,-960.22,False,
48,982 123766109220,237.84,01/13/2023,DM13BelKraatz,6163df4a3e48000098007d82,-32.43999999999997,True,
49,982 123766109220,263.26,01/14/2023,DM13BelKraatz,6163df4a3e48000098007d82,25.419999999999987,True,
50,982 123766109220,290.19,01/16/2023,DM13BelKraatz,6163df4a3e48000098007d82,26.930000000000007,True,
51,982 123766109220,327.37,01/18/2023,DM13BelKraatz,6163df4a3e48000098007d82,37.18000000000001,True,
52,982 123766109220,301.99,01/18/2023,DM13BelKraatz,6163df4a3e48000098007d82,-25.379999999999995,True,
53,982 123766109220,122.82,01/19/2023,DM13BelKraatz,6163df4a3e48000098007d82,-179.17000000000002,False,
54,982 123766109220,81.32,01/20/2023,DM13BelKraatz,6163df4a3e48000098007d82,-41.5,True,
55,982 123766109220,101.78,01/20/2023,DM13BelKraatz,6163df4a3e48000098007d82,20.460000000000008,True,
56,982 123766109220,117.36,01/20/2023,DM13BelKraatz,6163df4a3e48000098007d82,15.579999999999998,True,
57,982 123766109220,70.64,01/21/2023,DM13BelKraatz,6163df4a3e48000098007d82,-46.72,True,
58,982 123766109220,342.76,01/24/2023,DM13BelKraatz,6163df4a3e48000098007d82,272.12,False,
59,982 123766109220,342.48,01/24/2023,DM13BelKraatz,6163df4a3e48000098007d82,-0.2799999999999727,True,
60,982 123766109220,332.25,01/25/2023,DM13BelKraatz,6163df4a3e48000098007d82,-10.230000000000018,True,
61,982 123766109220,326.21,01/25/2023,DM13BelKraatz,6163df4a3e48000098007d82,-6.0400000000000205,True,
62,982 123766109220,324.31,01/25/2023,DM13BelKraatz,6163df4a3e48000098007d82,-1.8999999999999773,True,
63,982 123766109220,335.64,01/25/2023,DM13BelKraatz,6163df4a3e48000098007d82,11.329999999999984,True,
64,982 123766109220,338.91,01/25/2023,DM13BelKraatz,6163df4a3e48000098007d82,3.2700000000000387,True,
65,982 123766109220,335,01/26/2023,DM13BelKraatz,6163df4a3e48000098007d82,-3.910000000000025,True,
66,982 123766109220,333.16,01/26/2023,DM13BelKraatz,6163df4a3e48000098007d82,-1.839999999999975,True,
67,982 123766109220,344.21,01/26/2023,DM13BelKraatz,6163df4a3e48000098007d82,11.049999999999955,True,
68,982 123766109220,340,01/28/2023,DM13BelKraatz,6163df4a3e48000098007d82,-4.2099999999999795,True,
69,982 123766109220,349.22,01/28/2023,DM13BelKraatz,6163df4a3e48000098007d82,9.220000000000027,True,
70,982 123766109220,340.94,01/29/2023,DM13BelKraatz,6163df4a3e48000098007d82,-8.28000000000003,True,
71,982 123766109220,351.64,01/29/2023,DM13BelKraatz,6163df4a3e48000098007d82,10.699999999999989,True,
72,982 123766109220,176.2,01/29/2023,DM13BelKraatz,6163df4a3e48000098007d82,-175.44,False,
73,982 123766109220,348.17,01/30/2023,DM13BelKraatz,6163df4a3e48000098007d82,171.97000000000003,False,
74,982 123766109220,351.91,01/30/2023,DM13BelKraatz,6163df4a3e48000098007d82,3.740000000000009,True,
75,982 123766109220,352.22,01/30/2023,DM13BelKraatz,6163df4a3e48000098007d82,0.3100000000000023,True,
76,982 123766109220,350.68,01/30/2023,DM13BelKraatz,6163df4a3e48000098007d82,-1.5400000000000205,True,
77,982 123766109220,344.31,01/31/2023,DM13BelKraatz,6163df4a3e48000098007d82,-6.3700000000000045,True,
78,982 123766109220,338.21,02/02/2023,DM13BelKraatz,6163df4a3e48000098007d82,-6.100000000000023,True,
79,982 123766109220,338.01,02/02/2023,DM13BelKraatz,6163df4a3e48000098007d82,-0.19999999999998863,True,
80,982 123766109220,350.5,02/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,12.490000000000009,True,
81,982 123766109220,355,02/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,4.5,True,
82,982 123766109220,359,02/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,4.0,True,
83,982 123766109220,341.34,02/13/2023,DM13BelKraatz,6163df4a3e48000098007d82,-17.660000000000025,True,
84,982 123766109220,207.68,02/13/2023,DM13BelKraatz,6163df4a3e48000098007d82,-133.65999999999997,False,
85,982 123766109220,348.12,02/15/2023,DM13BelKraatz,6163df4a3e48000098007d82,140.44,False,
86,982 123766109220,360.6,02/15/2023,DM13BelKraatz,6163df4a3e48000098007d82,12.480000000000018,True,
87,982 123766109220,353.23,02/15/2023,DM13BelKraatz,6163df4a3e48000098007d82,-7.3700000000000045,True,
88,982 123766109220,346.5,02/16/2023,DM13BelKraatz,6163df4a3e48000098007d82,-6.730000000000018,True,
89,982 123766109220,308.49,02/17/2023,DM13BelKraatz,6163df4a3e48000098007d82,-38.00999999999999,True,
90,982 123766109220,251.78,02/17/2023,DM13BelKraatz,6163df4a3e48000098007d82,-56.71000000000001,True,
91,982 123766109220,344.11,02/17/2023,DM13BelKraatz,6163df4a3e48000098007d82,92.33000000000001,True,
92,982 123766109220,340.12,02/18/2023,DM13BelKraatz,6163df4a3e48000098007d82,-3.990000000000009,True,
93,982 123766109220,360.54,02/18/2023,DM13BelKraatz,6163df4a3e48000098007d82,20.420000000000016,True,
94,982 123766109220,348.51,02/19/2023,DM13BelKraatz,6163df4a3e48000098007d82,-12.03000000000003,True,
95,982 123766109220,352.5,02/19/2023,DM13BelKraatz,6163df4a3e48000098007d82,3.990000000000009,True,
96,982 123766109220,351.62,02/19/2023,DM13BelKraatz,6163df4a3e48000098007d82,-0.8799999999999955,True,
97,982 123766109220,345.44,02/23/2023,DM13BelKraatz,6163df4a3e48000098007d82,-6.180000000000007,True,
98,982 123766109220,341.93,02/24/2023,DM13BelKraatz,6163df4a3e48000098007d82,-3.509999999999991,True,
99,982 123766109220,345.63,02/27/2023,DM13BelKraatz,6163df4a3e48000098007d82,3.6999999999999886,True,
100,982 123766109220,352.42,02/27/2023,DM13BelKraatz,6163df4a3e48000098007d82,6.7900000000000205,True,
101,982 123766109220,345.73,02/28/2023,DM13BelKraatz,6163df4a3e48000098007d82,-6.689999999999998,True,
102,982 123766109220,363.87,02/28/2023,DM13BelKraatz,6163df4a3e48000098007d82,18.139999999999986,True,
103,982 123766109220,361.87,02/28/2023,DM13BelKraatz,6163df4a3e48000098007d82,-2.0,True,
104,982 123766109220,359.29,02/28/2023,DM13BelKraatz,6163df4a3e48000098007d82,-2.579999999999984,True,
105,982 123766109220,350.73,03/02/2023,DM13BelKraatz,6163df4a3e48000098007d82,-8.560000000000002,True,
106,982 123766109220,347.36,03/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,-3.3700000000000045,True,
107,982 123766109220,354.06,03/13/2023,DM13BelKraatz,6163df4a3e48000098007d82,6.699999999999989,True,
108,982 123766109220,352.54,03/13/2023,DM13BelKraatz,6163df4a3e48000098007d82,-1.5199999999999818,True,
109,982 123766109220,354.18,03/14/2023,DM13BelKraatz,6163df4a3e48000098007d82,1.6399999999999864,True,
110,982 123766109220,348.02,03/15/2023,DM13BelKraatz,6163df4a3e48000098007d82,-6.160000000000025,True,
111,982 123766109220,354.65,03/15/2023,DM13BelKraatz,6163df4a3e48000098007d82,6.6299999999999955,True,
112,982 123766109220,346.24,03/16/2023,DM13BelKraatz,6163df4a3e48000098007d82,-8.409999999999968,True,
113,982 123766109220,361.5,03/16/2023,DM13BelKraatz,6163df4a3e48000098007d82,15.259999999999991,True,
114,982 123766109220,339.79,04/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,-21.70999999999998,True,
115,982 123766109220,363.42,04/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,23.629999999999995,True,
116,982 123766109220,288.71,05/01/2023,DM13BelKraatz,6163df4a3e48000098007d82,-74.71000000000004,True,
117,982 123766109220,338.93,05/02/2023,DM13BelKraatz,6163df4a3e48000098007d82,50.22000000000003,True,
118,982 123766109220,346.68,05/02/2023,DM13BelKraatz,6163df4a3e48000098007d82,7.75,True,
119,982 123766109220,341.53,05/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,-5.150000000000034,True,
120,982 123766109220,292.36,06/01/2023,DM13BelKraatz,6163df4a3e48000098007d82,-49.16999999999996,True,
121,982 123766109220,363.27,06/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,70.90999999999997,True,
122,982 123766109220,377,06/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,13.730000000000018,True,
123,982 123766109220,371.32,06/03/2023,DM13BelKraatz,6163df4a3e48000098007d82,-5.680000000000007,True,
124,982 123766109220,287.9,07/01/2023,DM13BelKraatz,6163df4a3e48000098007d82,-83.42000000000002,True,
125,982 123766109220,313.42,07/02/2023,DM13BelKraatz,6163df4a3e48000098007d82,25.52000000000004,True,
