num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123766109135,56.66,07/11/2021,03.Bel,61710042077b0000b1001236,0,True,
2,982 123766109135,352.67,07/11/2021,03.Bel,61710042077b0000b1001236,296.01,False,
3,982 123766109135,356.26,07/11/2021,03.Bel,61710042077b0000b1001236,3.589999999999975,True,
4,982 123766109135,60.47,07/11/2021,03.Bel,61710042077b0000b1001236,-295.78999999999996,False,
5,982 123766109135,371.32,07/11/2021,03.Bel,61710042077b0000b1001236,310.85,False,
6,982 123766109135,60.43,07/11/2021,03.Bel,61710042077b0000b1001236,-310.89,False,
7,982 123766109135,81.83,09/11/2021,03.Bel,61710042077b0000b1001236,21.4,True,
8,982 123766109135,282.12,10/13/2021,03.Bel,61710042077b0000b1001236,200.29000000000002,False,
9,982 123766109135,0,10/13/2021,03.Bel,61710042077b0000b1001236,-282.12,False,
10,982 123766109135,299.38,10/15/2021,03.Bel,61710042077b0000b1001236,299.38,False,
11,982 123766109135,64.2,10/15/2021,03.Bel,61710042077b0000b1001236,-235.18,False,
12,982 123766109135,307.18,10/16/2021,03.Bel,61710042077b0000b1001236,242.98000000000002,False,
13,982 123766109135,293.46,10/17/2021,03.Bel,61710042077b0000b1001236,-13.720000000000027,True,
14,982 123766109135,594.74,10/27/2021,03.Bel,61710042077b0000b1001236,301.28000000000003,False,
15,982 123766109135,115.13,11/18/2021,03.Bel,61710042077b0000b1001236,-479.61,False,
16,982 123766109135,56.22,11/18/2021,03.Bel,61710042077b0000b1001236,-58.91,True,
17,982 123766109135,311.9,11/24/2021,03.Bel,61710042077b0000b1001236,255.67999999999998,False,
18,982 123766109135,0,12/10/2021,03.Bel,61710042077b0000b1001236,-311.9,False,
19,982 123766109135,86.13,12/15/2021,03.Bel,61710042077b0000b1001236,86.13,True,
20,982 123766109135,104.49,12/15/2021,03.Bel,61710042077b0000b1001236,18.36,True,
21,982 123766109135,101.67,12/17/2021,03.Bel,61710042077b0000b1001236,-2.819999999999993,True,
22,982 123766109135,163.63,12/17/2021,03.Bel,61710042077b0000b1001236,61.959999999999994,True,
