num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123766109009,138.56,01/09/2022,DM15Final,61ad6c076d1a00007700617d,0,True,
2,982 123766109009,145.7,01/11/2022,DM15Final,61ad6c076d1a00007700617d,7.139999999999986,True,
3,982 123766109009,308.72,02/10/2022,DM15Final,61ad6c076d1a00007700617d,163.02000000000004,False,
4,982 123766109009,232.92,03/10/2022,DM15Final,61ad6c076d1a00007700617d,-75.80000000000004,False,
5,982 123766109009,127.88,05/10/2022,DM15Final,61ad6c076d1a00007700617d,-105.03999999999999,False,
6,982 123766109009,287.07,08/24/2022,DM15Final,61ad6c076d1a00007700617d,159.19,False,
7,982 123766109009,144.03,08/25/2022,DM15Final,61ad6c076d1a00007700617d,-143.04,False,
8,982 123766109009,213.52,08/27/2022,DM15Final,61ad6c076d1a00007700617d,69.49000000000001,True,
9,982 123766109009,100.1,08/28/2022,DM15Final,61ad6c076d1a00007700617d,-113.42000000000002,False,
10,982 123766109009,128.5,09/12/2022,DM15Final,61ad6c076d1a00007700617d,28.400000000000006,True,
11,982 123766109009,238.55,09/18/2022,DM15Final,61ad6c076d1a00007700617d,110.05000000000001,False,
12,982 123766109009,269.38,09/21/2022,DM15Final,61ad6c076d1a00007700617d,30.829999999999984,True,
13,982 123766109009,238.9,09/23/2022,DM15Final,61ad6c076d1a00007700617d,-30.47999999999999,True,
14,982 123766109009,304.51,09/24/2022,DM15Final,61ad6c076d1a00007700617d,65.60999999999999,True,
15,982 123766109009,279.63,09/26/2022,DM15Final,61ad6c076d1a00007700617d,-24.879999999999995,True,
16,982 123766109009,310.07,09/28/2022,DM15Final,61ad6c076d1a00007700617d,30.439999999999998,True,
17,982 123766109009,228.5,10/13/2022,DM15Final,61ad6c076d1a00007700617d,-81.57,False,
18,982 123766109009,237.15,10/14/2022,DM15Final,61ad6c076d1a00007700617d,8.650000000000006,True,
19,982 123766109009,235.99,10/17/2022,DM15Final,61ad6c076d1a00007700617d,-1.1599999999999966,True,
20,982 123766109009,254.39,10/26/2022,DM15Final,61ad6c076d1a00007700617d,18.399999999999977,True,
21,982 123766109009,225.43,10/31/2022,DM15Final,61ad6c076d1a00007700617d,-28.95999999999998,True,
22,982 123766109009,306.31,11/24/2022,DM15Final,61ad6c076d1a00007700617d,80.88,False,
23,982 123766109009,245.27,12/10/2022,DM15Final,61ad6c076d1a00007700617d,-61.03999999999999,True,
24,982 123766109009,302.93,12/14/2022,DM15Final,61ad6c076d1a00007700617d,57.66,True,
25,982 123766109009,119.05,12/14/2022,DM15Final,61ad6c076d1a00007700617d,-183.88,False,
26,982 123766109009,368.15,12/15/2022,DM15Final,61ad6c076d1a00007700617d,249.09999999999997,False,
27,982 123766109009,281.2,12/20/2022,DM15Final,61ad6c076d1a00007700617d,-86.94999999999999,False,
28,982 123766109009,144.25,12/24/2022,DM13BelKraatz,61ad6c076d1a00007700617d,-136.95,False,
29,982 123766109009,251.98,12/28/2022,DM13BelKraatz,61ad6c076d1a00007700617d,107.72999999999999,False,
30,982 123766109009,246.75,12/29/2022,DM13BelKraatz,61ad6c076d1a00007700617d,-5.22999999999999,True,
