num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123793547117,56.5,02/12/2022,DM12Final,63bd3f545bf6a8a06901163c,0,True,
2,982 123793547117,111.98,02/12/2022,DM12Final,63bd3f545bf6a8a06901163c,55.480000000000004,True,
3,982 123793547117,0,03/12/2022,DM12Final,63bd3f545bf6a8a06901163c,-111.98,True,
4,982 123793547117,479.28,03/12/2022,DM12Final,63bd3f545bf6a8a06901163c,479.28,False,
5,982 123793547117,513.05,03/12/2022,DM12Final,63bd3f545bf6a8a06901163c,33.76999999999998,True,
6,982 123793547117,552.21,03/12/2022,DM12Final,63bd3f545bf6a8a06901163c,39.16000000000008,True,
7,982 123793547117,138.47,04/12/2022,DM12Final,63bd3f545bf6a8a06901163c,-413.74,False,
8,982 123793547117,192.3,04/12/2022,DM12Final,63bd3f545bf6a8a06901163c,53.83000000000001,True,
9,982 123793547117,223.77,12/20/2022,DM12Final,63bd3f545bf6a8a06901163c,31.47,True,
10,982 123793547117,52.67,12/23/2022,DM12Final,63bd3f545bf6a8a06901163c,-171.10000000000002,True,
11,982 123793547117,62.05,12/27/2022,DM12Final,63bd3f545bf6a8a06901163c,9.379999999999995,True,
12,982 123793547117,115.77,12/27/2022,DM12Final,63bd3f545bf6a8a06901163c,53.72,True,
13,982 123793547117,71.95,12/28/2022,DM12Final,63bd3f545bf6a8a06901163c,-43.81999999999999,True,
14,982 123793547117,382.57,12/29/2022,DM12Final,63bd3f545bf6a8a06901163c,310.62,False,
15,982 123793547117,71.95,12/29/2022,DM12Final,63bd3f545bf6a8a06901163c,-310.62,False,
16,982 123793547117,464.57,12/31/2022,DM12Final,63bd3f545bf6a8a06901163c,392.62,False,
17,982 123793547117,255.81,12/31/2022,DM12Final,63bd3f545bf6a8a06901163c,-208.76,False,
18,982 123793547117,63.42,01/01/2023,DM12Final,63bd3f545bf6a8a06901163c,-192.39,False,
19,982 123793547117,485.16,02/01/2023,DM12Final,63bd3f545bf6a8a06901163c,421.74,False,
20,982 123793547117,62.74,02/01/2023,DM12Final,63bd3f545bf6a8a06901163c,-422.42,False,
21,982 123793547117,0,02/01/2023,DM12Final,63bd3f545bf6a8a06901163c,-62.74,True,
22,982 123793547117,76.19,09/01/2023,DM12Final,63bd3f545bf6a8a06901163c,76.19,True,
23,982 123793547117,103,10/01/2023,DM12Final,63bd3f545bf6a8a06901163c,26.810000000000002,True,
24,982 123793547117,540.69,10/01/2023,DM12Final,63bd3f545bf6a8a06901163c,437.69000000000005,False,
