num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123793546793,98.77,02/12/2022,DM12Final,63bd3f515bf6a8a06901162c,0,True,
2,982 123793546793,106.38,02/12/2022,DM12Final,63bd3f515bf6a8a06901162c,7.609999999999999,True,
3,982 123793546793,189.57,02/12/2022,DM12Final,63bd3f515bf6a8a06901162c,83.19,True,
4,982 123793546793,130.52,04/12/2022,DM12Final,63bd3f515bf6a8a06901162c,-59.04999999999998,True,
5,982 123793546793,171,04/12/2022,DM12Final,63bd3f515bf6a8a06901162c,40.47999999999999,True,
6,982 123793546793,81.14,05/12/2022,DM12Final,63bd3f515bf6a8a06901162c,-89.86,True,
7,982 123793546793,82.38,12/15/2022,DM12Final,63bd3f515bf6a8a06901162c,1.2399999999999949,True,
8,982 123793546793,112.89,12/16/2022,DM12Final,63bd3f515bf6a8a06901162c,30.510000000000005,True,
9,982 123793546793,117.11,12/17/2022,DM12Final,63bd3f515bf6a8a06901162c,4.219999999999999,True,
10,982 123793546793,121.16,12/18/2022,DM12Final,63bd3f515bf6a8a06901162c,4.049999999999997,True,
11,982 123793546793,102.15,12/19/2022,DM12Final,63bd3f515bf6a8a06901162c,-19.00999999999999,True,
12,982 123793546793,0,12/20/2022,DM12Final,63bd3f515bf6a8a06901162c,-102.15,True,
13,982 123793546793,96.21,12/20/2022,DM12Final,63bd3f515bf6a8a06901162c,96.21,True,
14,982 123793546793,115.53,12/21/2022,DM12Final,63bd3f515bf6a8a06901162c,19.320000000000007,True,
15,982 123793546793,481.22,12/21/2022,DM12Final,63bd3f515bf6a8a06901162c,365.69000000000005,False,
16,982 123793546793,111.48,12/22/2022,DM12Final,63bd3f515bf6a8a06901162c,-369.74,False,
17,982 123793546793,502.57,12/22/2022,DM12Final,63bd3f515bf6a8a06901162c,391.09,False,
18,982 123793546793,102.52,12/23/2022,DM12Final,63bd3f515bf6a8a06901162c,-400.05,False,
19,982 123793546793,99.7,12/23/2022,DM12Final,63bd3f515bf6a8a06901162c,-2.819999999999993,True,
20,982 123793546793,120.68,12/26/2022,DM12Final,63bd3f515bf6a8a06901162c,20.980000000000004,True,
21,982 123793546793,121.93,12/27/2022,DM12Final,63bd3f515bf6a8a06901162c,1.25,True,
22,982 123793546793,120.81,12/28/2022,DM12Final,63bd3f515bf6a8a06901162c,-1.1200000000000045,True,
23,982 123793546793,0,12/31/2022,DM12Final,63bd3f515bf6a8a06901162c,-120.81,False,
24,982 123793546793,107.96,12/31/2022,DM12Final,63bd3f515bf6a8a06901162c,107.96,True,
25,982 123793546793,201.29,09/01/2023,DM12Final,63bd3f515bf6a8a06901162c,93.33,True,
26,982 123793546793,393.04,10/01/2023,DM12Final,63bd3f515bf6a8a06901162c,191.75000000000003,False,
27,982 123793546793,203.72,10/01/2023,DM12Final,63bd3f515bf6a8a06901162c,-189.32000000000002,False,
