num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123724743433,276.09,09/12/2020,Kraatz,5e17abbfd579000022001581,0,True,
2,982 123724743433,132.51,09/12/2020,Kraatz,5e17abbfd579000022001581,-143.57999999999998,False,
3,982 123724743433,273.63,10/12/2020,Kraatz,5e17abbfd579000022001581,141.12,False,
4,982 123724743433,269.84,10/12/2020,Kraatz,5e17abbfd579000022001581,-3.7900000000000205,True,
5,982 123724743433,421.74,11/12/2020,Kraatz,5e17abbfd579000022001581,151.90000000000003,False,
6,982 123724743433,254.51,11/12/2020,Kraatz,5e17abbfd579000022001581,-167.23000000000002,False,
7,982 123724743433,544.81,11/12/2020,Kraatz,5e17abbfd579000022001581,290.29999999999995,False,
8,982 123724743433,549.47,11/12/2020,Kraatz,5e17abbfd579000022001581,4.660000000000082,True,
9,982 123724743433,265.97,11/12/2020,Kraatz,5e17abbfd579000022001581,-283.5,False,
10,982 123724743433,273.22,11/12/2020,Kraatz,5e17abbfd579000022001581,7.25,True,
11,982 123724743433,393.86,12/12/2020,Kraatz,5e17abbfd579000022001581,120.63999999999999,True,
12,982 123724743433,273.74,12/12/2020,Kraatz,5e17abbfd579000022001581,-120.12,True,
13,982 123724743433,405.49,12/14/2020,Kraatz,5e17abbfd579000022001581,131.75,True,
14,982 123724743433,276.56,12/14/2020,Kraatz,5e17abbfd579000022001581,-128.93,True,
15,982 123724743433,287.89,12/14/2020,Kraatz,5e17abbfd579000022001581,11.329999999999984,True,
16,982 123724743433,282.84,12/14/2020,Kraatz,5e17abbfd579000022001581,-5.050000000000011,True,
17,982 123724743433,283.54,12/14/2020,Kraatz,5e17abbfd579000022001581,0.7000000000000455,True,
18,982 123724743433,286.34,12/14/2020,Kraatz,5e17abbfd579000022001581,2.7999999999999545,True,
19,982 123724743433,372.83,12/15/2020,Kraatz,5e17abbfd579000022001581,86.49000000000001,True,
20,982 123724743433,207.03,12/15/2020,Kraatz,5e17abbfd579000022001581,-165.79999999999998,False,
21,982 123724743433,245.9,12/15/2020,Kraatz,5e17abbfd579000022001581,38.870000000000005,True,
22,982 123724743433,250.84,12/16/2020,Kraatz,5e17abbfd579000022001581,4.939999999999998,True,
23,982 123724743433,263.09,12/16/2020,Kraatz,5e17abbfd579000022001581,12.249999999999972,True,
24,982 123724743433,399.95,12/17/2020,Kraatz,5e17abbfd579000022001581,136.86,False,
25,982 123724743433,253.33,12/17/2020,Kraatz,5e17abbfd579000022001581,-146.61999999999998,False,
26,982 123724743433,245.66,12/17/2020,Kraatz,5e17abbfd579000022001581,-7.670000000000016,True,
27,982 123724743433,250.95,12/18/2020,Kraatz,5e17abbfd579000022001581,5.289999999999992,True,
28,982 123724743433,280.14,12/18/2020,Kraatz,5e17abbfd579000022001581,29.189999999999998,True,
29,982 123724743433,269.29,12/18/2020,Kraatz,5e17abbfd579000022001581,-10.849999999999966,True,
30,982 123724743433,269.98,12/18/2020,Kraatz,5e17abbfd579000022001581,0.6899999999999977,True,
31,982 123724743433,350.21,12/19/2020,Kraatz,5e17abbfd579000022001581,80.22999999999996,True,
32,982 123724743433,229.7,12/19/2020,Kraatz,5e17abbfd579000022001581,-120.50999999999999,True,
33,982 123724743433,132.36,12/19/2020,Kraatz,5e17abbfd579000022001581,-97.33999999999997,True,
34,982 123724743433,251.32,12/19/2020,Kraatz,5e17abbfd579000022001581,118.95999999999998,True,
35,982 123724743433,257.86,12/21/2020,Kraatz,5e17abbfd579000022001581,6.5400000000000205,True,
36,982 123724743433,284.29,12/21/2020,Kraatz,5e17abbfd579000022001581,26.430000000000007,True,
37,982 123724743433,283.24,12/22/2020,Kraatz,5e17abbfd579000022001581,-1.0500000000000114,True,
38,982 123724743433,269.73,12/23/2020,Kraatz,5e17abbfd579000022001581,-13.509999999999991,True,
39,982 123724743433,289.87,12/23/2020,Kraatz,5e17abbfd579000022001581,20.139999999999986,True,
40,982 123724743433,282.31,12/24/2020,Kraatz,5e17abbfd579000022001581,-7.560000000000002,True,
41,982 123724743433,337.1,12/26/2020,Kraatz,5e17abbfd579000022001581,54.79000000000002,True,
42,982 123724743433,450.18,12/26/2020,Kraatz,5e17abbfd579000022001581,113.07999999999998,True,
43,982 123724743433,260.18,12/26/2020,Kraatz,5e17abbfd579000022001581,-190.0,False,
44,982 123724743433,267.95,12/27/2020,Kraatz,5e17abbfd579000022001581,7.769999999999982,True,
45,982 123724743433,263.4,12/27/2020,Kraatz,5e17abbfd579000022001581,-4.550000000000011,True,
46,982 123724743433,266.33,12/28/2020,Kraatz,5e17abbfd579000022001581,2.930000000000007,True,
47,982 123724743433,239.65,12/29/2020,Kraatz,5e17abbfd579000022001581,-26.67999999999998,True,
48,982 123724743433,411.92,12/29/2020,Kraatz,5e17abbfd579000022001581,172.27,False,
49,982 123724743433,249.87,12/31/2020,Kraatz,5e17abbfd579000022001581,-162.05,False,
50,982 123724743433,257.8,12/31/2020,Kraatz,5e17abbfd579000022001581,7.930000000000007,True,
51,982 123724743433,314.7,01/01/2021,Kraatz,5e17abbfd579000022001581,56.89999999999998,True,
52,982 123724743433,242.96,01/01/2021,Kraatz,5e17abbfd579000022001581,-71.73999999999998,True,
53,982 123724743433,254.04,01/13/2021,Kraatz,5e17abbfd579000022001581,11.079999999999984,True,
54,982 123724743433,539.77,01/13/2021,Kraatz,5e17abbfd579000022001581,285.73,False,
55,982 123724743433,258.71,01/14/2021,Kraatz,5e17abbfd579000022001581,-281.06,False,
56,982 123724743433,299.35,01/15/2021,Kraatz,5e17abbfd579000022001581,40.64000000000004,True,
57,982 123724743433,260.44,01/15/2021,Kraatz,5e17abbfd579000022001581,-38.910000000000025,True,
58,982 123724743433,270.12,01/15/2021,Kraatz,5e17abbfd579000022001581,9.680000000000007,True,
59,982 123724743433,387.2,01/16/2021,Kraatz,5e17abbfd579000022001581,117.07999999999998,True,
60,982 123724743433,271.18,01/16/2021,Kraatz,5e17abbfd579000022001581,-116.01999999999998,True,
61,982 123724743433,278.63,01/17/2021,Kraatz,5e17abbfd579000022001581,7.449999999999989,True,
62,982 123724743433,272.44,01/17/2021,Kraatz,5e17abbfd579000022001581,-6.189999999999998,True,
63,982 123724743433,154.02,01/17/2021,Kraatz,5e17abbfd579000022001581,-118.41999999999999,True,
64,982 123724743433,273.49,01/17/2021,Kraatz,5e17abbfd579000022001581,119.47,True,
65,982 123724743433,270.23,01/17/2021,Kraatz,5e17abbfd579000022001581,-3.259999999999991,True,
66,982 123724743433,260.49,01/17/2021,Kraatz,5e17abbfd579000022001581,-9.740000000000009,True,
67,982 123724743433,266.98,01/17/2021,Kraatz,5e17abbfd579000022001581,6.490000000000009,True,
68,982 123724743433,154.33,01/18/2021,Kraatz,5e17abbfd579000022001581,-112.65,True,
