num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123766109228,100.95,03/11/2021,13.Bel,6163df2c3e48000098007d3a,0,True,
2,982 123766109228,97.82,03/11/2021,13.Bel,6163df2c3e48000098007d3a,-3.1300000000000097,True,
3,982 123766109228,94.2,03/11/2021,13.Bel,6163df2c3e48000098007d3a,-3.6199999999999903,True,
4,982 123766109228,100.05,04/11/2021,13.Bel,6163df2c3e48000098007d3a,5.849999999999994,True,
5,982 123766109228,324.62,04/11/2021,13.Bel,6163df2c3e48000098007d3a,224.57,False,
6,982 123766109228,0,04/11/2021,13.Bel,6163df2c3e48000098007d3a,-324.62,False,
7,982 123766109228,83.95,07/11/2021,13.Bel,6163df2c3e48000098007d3a,83.95,True,
8,982 123766109228,102.06,07/11/2021,13.Bel,6163df2c3e48000098007d3a,18.11,True,
9,982 123766109228,264.71,07/11/2021,13.Bel,6163df2c3e48000098007d3a,162.64999999999998,False,
10,982 123766109228,97.09,08/11/2021,13.Bel,6163df2c3e48000098007d3a,-167.61999999999998,False,
11,982 123766109228,53.61,09/26/2021,04.Bel,6163df2c3e48000098007d3a,-43.480000000000004,True,
12,982 123766109228,53.22,09/27/2021,04.Bel,6163df2c3e48000098007d3a,-0.39000000000000057,True,
13,982 123766109228,61.62,09/28/2021,04.Bel,6163df2c3e48000098007d3a,8.399999999999999,True,
14,982 123766109228,59.07,09/28/2021,04.Bel,6163df2c3e48000098007d3a,-2.549999999999997,True,
15,982 123766109228,55.86,09/30/2021,04.Bel,6163df2c3e48000098007d3a,-3.210000000000001,True,
16,982 123766109228,76.61,10/10/2021,04.Bel,6163df2c3e48000098007d3a,20.75,True,
17,982 123766109228,74.43,10/13/2021,04.Bel,6163df2c3e48000098007d3a,-2.1799999999999926,True,
18,982 123766109228,73.22,10/13/2021,04.Bel,6163df2c3e48000098007d3a,-1.210000000000008,True,
19,982 123766109228,70.82,10/13/2021,04.Bel,6163df2c3e48000098007d3a,-2.4000000000000057,True,
20,982 123766109228,73.19,10/14/2021,13.Bel,6163df2c3e48000098007d3a,2.3700000000000045,True,
21,982 123766109228,88.25,10/16/2021,13.Bel,6163df2c3e48000098007d3a,15.060000000000002,True,
