num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123766109030,147.55,02/10/2022,DM15Final,63bd3fda5bf6a8a069011687,0,True,
2,982 123766109030,99.97,03/08/2022,DM15Final,NA,-47.58000000000001,True,
3,982 123766109030,300.94,03/10/2022,DM15Final,63bd3fda5bf6a8a069011687,200.97,False,
4,982 123766109030,249.44,06/10/2022,DM15Final,63bd3fda5bf6a8a069011687,-51.5,True,
5,982 123766109030,240.27,08/17/2022,DM15Final,NA,-9.169999999999987,True,
6,982 123766109030,252.48,10/22/2022,DM15Final,63bd3fda5bf6a8a069011687,12.20999999999998,True,
7,982 123766109030,290.93,12/15/2022,DM15Final,63bd3fda5bf6a8a069011687,38.45000000000002,True,
8,982 123766109030,52.5,01/19/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,-238.43,False,
9,982 123766109030,76.1,01/21/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,23.599999999999994,True,
10,982 123766109030,308.37,01/26/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,232.27,False,
11,982 123766109030,309.61,01/26/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,1.240000000000009,True,
12,982 123766109030,335.62,02/21/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,26.00999999999999,True,
13,982 123766109030,341.95,02/21/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,6.329999999999984,True,
14,982 123766109030,276.73,06/01/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,-65.21999999999997,True,
15,982 123766109030,295.17,10/01/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,18.439999999999998,True,
16,982 123766109030,311.2,10/01/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,16.029999999999973,True,
17,982 123766109030,287.26,11/01/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,-23.939999999999998,True,
18,982 123766109030,291.64,11/01/2023,DM13BelKraatz,63bd3fda5bf6a8a069011687,4.3799999999999955,True,
