num,RFID,Weight,Date,Location,cattle_id,prev_diff,within_standard_dev,padding_remove
1,982 123793547000,52.07,01/31/2023,07.Bel,63f336ab1743003b6e081b7f,0,True,
2,982 123793547000,85.74,03/02/2023,07.Bel,63f336ab1743003b6e081b7f,33.669999999999995,True,
3,982 123793547000,415.68,03/02/2023,07.Bel,63f336ab1743003b6e081b7f,329.94,False,
4,982 123793547000,593.56,03/02/2023,07.Bel,63f336ab1743003b6e081b7f,177.87999999999994,True,
5,982 123793547000,552.28,03/02/2023,07.Bel,63f336ab1743003b6e081b7f,-41.27999999999997,True,
6,982 123793547000,644.31,03/02/2023,07.Bel,63f336ab1743003b6e081b7f,92.02999999999997,True,
